"Step","ASPOCRNet-Mobilenet - loss","ASPOCRNet-Mobilenet - loss__MIN","ASPOCRNet-Mobilenet - loss__MAX"
"0","0.8210788369178772","0.8210788369178772","0.8210788369178772"
"1","0.41988182067871094","0.41988182067871094","0.41988182067871094"
"2","0.2804027795791626","0.2804027795791626","0.2804027795791626"
"3","0.2033780813217163","0.2033780813217163","0.2033780813217163"
"4","0.14947755634784698","0.14947755634784698","0.14947755634784698"
"5","0.11654917150735855","0.11654917150735855","0.11654917150735855"
"6","0.08847396820783615","0.08847396820783615","0.08847396820783615"
"7","0.06754381954669952","0.06754381954669952","0.06754381954669952"
"8","0.05301486700773239","0.05301486700773239","0.05301486700773239"
"9","0.04172826185822487","0.04172826185822487","0.04172826185822487"
"10","0.03313520550727844","0.03313520550727844","0.03313520550727844"
"11","0.027759118005633354","0.027759118005633354","0.027759118005633354"
"12","0.02082446590065956","0.02082446590065956","0.02082446590065956"
"13","0.018001344054937363","0.018001344054937363","0.018001344054937363"
"14","0.014421753585338593","0.014421753585338593","0.014421753585338593"
