"Step","ASPOCRNet-Mobilenet - sparse_categorical_accuracy","ASPOCRNet-Mobilenet - sparse_categorical_accuracy__MIN","ASPOCRNet-Mobilenet - sparse_categorical_accuracy__MAX"
"0","0.8944844603538513","0.8944844603538513","0.8944844603538513"
"1","0.9553467631340027","0.9553467631340027","0.9553467631340027"
"2","0.9743354320526123","0.9743354320526123","0.9743354320526123"
"3","0.9818755388259888","0.9818755388259888","0.9818755388259888"
"4","0.9879922866821289","0.9879922866821289","0.9879922866821289"
"5","0.990471363067627","0.990471363067627","0.990471363067627"
"6","0.9935076236724854","0.9935076236724854","0.9935076236724854"
"7","0.9955580830574036","0.9955580830574036","0.9955580830574036"
"8","0.9968858957290649","0.9968858957290649","0.9968858957290649"
"9","0.9977602362632751","0.9977602362632751","0.9977602362632751"
"10","0.9983977675437927","0.9983977675437927","0.9983977675437927"
"11","0.9983922243118286","0.9983922243118286","0.9983922243118286"
"12","0.9990800619125366","0.9990800619125366","0.9990800619125366"
"13","0.999199390411377","0.999199390411377","0.999199390411377"
"14","0.9996349811553955","0.9996349811553955","0.9996349811553955"
