"Step","ASPOCRNet-Mobilenet - val_sparse_categorical_accuracy","ASPOCRNet-Mobilenet - val_sparse_categorical_accuracy__MIN","ASPOCRNet-Mobilenet - val_sparse_categorical_accuracy__MAX"
"0","0.00016895783483050764","0.00016895783483050764","0.00016895783483050764"
"1","0.00014704777277074754","0.00014704777277074754","0.00014704777277074754"
"2","0.00016895783483050764","0.00016895783483050764","0.00016895783483050764"
"3","0.9846776723861694","0.9846776723861694","0.9846776723861694"
"4","0.9899743795394897","0.9899743795394897","0.9899743795394897"
"5","0.9953603744506836","0.9953603744506836","0.9953603744506836"
"6","0.007578250020742416","0.007578250020742416","0.007578250020742416"
"7","0.9977820515632629","0.9977820515632629","0.9977820515632629"
"8","0.9988206028938293","0.9988206028938293","0.9988206028938293"
"9","0.4649643898010254","0.4649643898010254","0.4649643898010254"
"10","0.9930900931358337","0.9930900931358337","0.9930900931358337"
"11","0.9992764592170715","0.9992764592170715","0.9992764592170715"
"12","0.9994399547576904","0.9994399547576904","0.9994399547576904"
"13","0.9996358156204224","0.9996358156204224","0.9996358156204224"
"14","0.6172820329666138","0.6172820329666138","0.6172820329666138"
