"Step","ASPOCRNET-Resnet - val_sparse_categorical_accuracy","ASPOCRNET-Resnet - val_sparse_categorical_accuracy__MIN","ASPOCRNET-Resnet - val_sparse_categorical_accuracy__MAX"
"0","0.9856343269348145","0.9856343269348145","0.9856343269348145"
"1","0.9901348352432251","0.9901348352432251","0.9901348352432251"
"2","0.9903043508529663","0.9903043508529663","0.9903043508529663"
"3","0.990315854549408","0.990315854549408","0.990315854549408"
"4","0.9903131723403931","0.9903131723403931","0.9903131723403931"
"5","0.990312933921814","0.990312933921814","0.990312933921814"
"6","0.9902946949005127","0.9902946949005127","0.9902946949005127"
"7","0.9903121590614319","0.9903121590614319","0.9903121590614319"
"8","0.9903097748756409","0.9903097748756409","0.9903097748756409"
"9","0.9903131127357483","0.9903131127357483","0.9903131127357483"
"10","0.9903162717819214","0.9903162717819214","0.9903162717819214"
"11","0.9897326231002808","0.9897326231002808","0.9897326231002808"
"12","0.9901227951049805","0.9901227951049805","0.9901227951049805"
"13","0.9903120994567871","0.9903120994567871","0.9903120994567871"
"14","0.9903186559677124","0.9903186559677124","0.9903186559677124"
