"Step","ASPOCRNET-Xception - loss","ASPOCRNET-Xception - loss__MIN","ASPOCRNET-Xception - loss__MAX"
"0","0.770490825176239","0.770490825176239","0.770490825176239"
"1","0.4247782528400421","0.4247782528400421","0.4247782528400421"
"2","0.28021490573883057","0.28021490573883057","0.28021490573883057"
"3","0.19747786223888397","0.19747786223888397","0.19747786223888397"
"4","0.14439567923545837","0.14439567923545837","0.14439567923545837"
"5","0.10757583379745483","0.10757583379745483","0.10757583379745483"
"6","0.08173556625843048","0.08173556625843048","0.08173556625843048"
"7","0.06545038521289825","0.06545038521289825","0.06545038521289825"
"8","0.04920678958296776","0.04920678958296776","0.04920678958296776"
"9","0.0386362262070179","0.0386362262070179","0.0386362262070179"
"10","0.03038899414241314","0.03038899414241314","0.03038899414241314"
"11","0.02465946413576603","0.02465946413576603","0.02465946413576603"
"12","0.020459426566958427","0.020459426566958427","0.020459426566958427"
"13","0.016708698123693466","0.016708698123693466","0.016708698123693466"
"14","0.013273540884256363","0.013273540884256363","0.013273540884256363"
