"Step","ASPOCRNET-Xception - sparse_categorical_accuracy","ASPOCRNET-Xception - sparse_categorical_accuracy__MIN","ASPOCRNET-Xception - sparse_categorical_accuracy__MAX"
"0","0.9079998731613159","0.9079998731613159","0.9079998731613159"
"1","0.9512695670127869","0.9512695670127869","0.9512695670127869"
"2","0.9712381958961487","0.9712381958961487","0.9712381958961487"
"3","0.981939435005188","0.981939435005188","0.981939435005188"
"4","0.9879516959190369","0.9879516959190369","0.9879516959190369"
"5","0.9910833239555359","0.9910833239555359","0.9910833239555359"
"6","0.9941250085830688","0.9941250085830688","0.9941250085830688"
"7","0.9949666261672974","0.9949666261672974","0.9949666261672974"
"8","0.9970330595970154","0.9970330595970154","0.9970330595970154"
"9","0.9979494214057922","0.9979494214057922","0.9979494214057922"
"10","0.9985230565071106","0.9985230565071106","0.9985230565071106"
"11","0.9987558126449585","0.9987558126449585","0.9987558126449585"
"12","0.9988287091255188","0.9988287091255188","0.9988287091255188"
"13","0.9992979764938354","0.9992979764938354","0.9992979764938354"
"14","0.9995891451835632","0.9995891451835632","0.9995891451835632"
