"Step","ASPOCRNET-Xception - val_sparse_categorical_accuracy","ASPOCRNET-Xception - val_sparse_categorical_accuracy__MIN","ASPOCRNET-Xception - val_sparse_categorical_accuracy__MAX"
"0","0.00014667217328678817","0.00014667217328678817","0.00014667217328678817"
"1","0.4386672377586365","0.4386672377586365","0.4386672377586365"
"2","0.9804465174674988","0.9804465174674988","0.9804465174674988"
"3","0.982211709022522","0.982211709022522","0.982211709022522"
"4","0.8030796647071838","0.8030796647071838","0.8030796647071838"
"5","0.9944043755531311","0.9944043755531311","0.9944043755531311"
"6","0.9971072673797607","0.9971072673797607","0.9971072673797607"
"7","0.9977823495864868","0.9977823495864868","0.9977823495864868"
"8","0.998989462852478","0.998989462852478","0.998989462852478"
"9","0.999012291431427","0.999012291431427","0.999012291431427"
"10","0.8914198875427246","0.8914198875427246","0.8914198875427246"
"11","0.999234676361084","0.999234676361084","0.999234676361084"
"12","0.9985784888267517","0.9985784888267517","0.9985784888267517"
"13","0.9994850754737854","0.9994850754737854","0.9994850754737854"
"14","0.9987214803695679","0.9987214803695679","0.9987214803695679"
