"Step","Unet-Mobilenet - sparse_categorical_accuracy","Unet-Mobilenet - sparse_categorical_accuracy__MIN","Unet-Mobilenet - sparse_categorical_accuracy__MAX"
"0","0.9946153163909912","0.9946153163909912","0.9946153163909912"
"1","0.9997634887695312","0.9997634887695312","0.9997634887695312"
"2","0.9997627139091492","0.9997627139091492","0.9997627139091492"
"3","0.9997633099555969","0.9997633099555969","0.9997633099555969"
"4","0.999774694442749","0.999774694442749","0.999774694442749"
"5","0.9997738003730774","0.9997738003730774","0.9997738003730774"
"6","0.9997830390930176","0.9997830390930176","0.9997830390930176"
"7","0.9998121857643127","0.9998121857643127","0.9998121857643127"
"8","0.9998572468757629","0.9998572468757629","0.9998572468757629"
"9","0.9998683333396912","0.9998683333396912","0.9998683333396912"
"10","0.9998936057090759","0.9998936057090759","0.9998936057090759"
"11","0.9999175667762756","0.9999175667762756","0.9999175667762756"
"12","0.9999189972877502","0.9999189972877502","0.9999189972877502"
"13","0.9999263286590576","0.9999263286590576","0.9999263286590576"
"14","0.9999263286590576","0.9999263286590576","0.9999263286590576"
