"Step","Unet-Mobilenet - val_sparse_categorical_accuracy","Unet-Mobilenet - val_sparse_categorical_accuracy__MIN","Unet-Mobilenet - val_sparse_categorical_accuracy__MAX"
"0","0.9996843934059143","0.9996843934059143","0.9996843934059143"
"1","0.9996843934059143","0.9996843934059143","0.9996843934059143"
"2","0.9996843934059143","0.9996843934059143","0.9996843934059143"
"3","0.9996863603591919","0.9996863603591919","0.9996863603591919"
"4","0.9997006058692932","0.9997006058692932","0.9997006058692932"
"5","0.9997146725654602","0.9997146725654602","0.9997146725654602"
"6","0.999738872051239","0.999738872051239","0.999738872051239"
"7","0.9997957944869995","0.9997957944869995","0.9997957944869995"
"8","0.9998332858085632","0.9998332858085632","0.9998332858085632"
"9","0.9998136162757874","0.9998136162757874","0.9998136162757874"
"10","0.9998844861984253","0.9998844861984253","0.9998844861984253"
"11","0.99989914894104","0.99989914894104","0.99989914894104"
"12","0.9998944401741028","0.9998944401741028","0.9998944401741028"
"13","0.999897837638855","0.999897837638855","0.999897837638855"
"14","0.9998912811279297","0.9998912811279297","0.9998912811279297"
