"Step","Unet-Resnet - val_sparse_categorical_accuracy","Unet-Resnet - val_sparse_categorical_accuracy__MIN","Unet-Resnet - val_sparse_categorical_accuracy__MAX"
"0","0.9996843934059143","0.9996843934059143","0.9996843934059143"
"1","0.9996843934059143","0.9996843934059143","0.9996843934059143"
"2","0.9997673034667969","0.9997673034667969","0.9997673034667969"
"3","0.9997742772102356","0.9997742772102356","0.9997742772102356"
"4","0.9998849034309387","0.9998849034309387","0.9998849034309387"
"5","0.9998874068260193","0.9998874068260193","0.9998874068260193"
"6","0.9998621940612793","0.9998621940612793","0.9998621940612793"
"7","0.9998852610588074","0.9998852610588074","0.9998852610588074"
"8","0.9998907446861267","0.9998907446861267","0.9998907446861267"
"9","0.9999006390571594","0.9999006390571594","0.9999006390571594"
"10","0.9998844861984253","0.9998844861984253","0.9998844861984253"
"11","0.9998989701271057","0.9998989701271057","0.9998989701271057"
"12","0.999900221824646","0.999900221824646","0.999900221824646"
"13","0.999905526638031","0.999905526638031","0.999905526638031"
"14","0.9998987317085266","0.9998987317085266","0.9998987317085266"
