"Step","UNet-Seresnet - loss","UNet-Seresnet - loss__MIN","UNet-Seresnet - loss__MAX"
"0","0.033542945981025696","0.033542945981025696","0.033542945981025696"
"1","0.001000262564048171","0.001000262564048171","0.001000262564048171"
"2","0.0005757021717727184","0.0005757021717727184","0.0005757021717727184"
"3","0.0004018810868728906","0.0004018810868728906","0.0004018810868728906"
"4","0.00032276500132866204","0.00032276500132866204","0.00032276500132866204"
"5","0.0002773923915810883","0.0002773923915810883","0.0002773923915810883"
"6","0.00024556121206842363","0.00024556121206842363","0.00024556121206842363"
"7","0.00023424254322890192","0.00023424254322890192","0.00023424254322890192"
"8","0.00020259935990907252","0.00020259935990907252","0.00020259935990907252"
"9","0.0001889713603304699","0.0001889713603304699","0.0001889713603304699"
"10","0.0001804244820959866","0.0001804244820959866","0.0001804244820959866"
"11","0.0001834914874052629","0.0001834914874052629","0.0001834914874052629"
"12","0.00018674576131161302","0.00018674576131161302","0.00018674576131161302"
"13","0.00016838913143146783","0.00016838913143146783","0.00016838913143146783"
"14","0.00014948047464713454","0.00014948047464713454","0.00014948047464713454"
