"Step","UNet-Seresnet - val_sparse_categorical_accuracy","UNet-Seresnet - val_sparse_categorical_accuracy__MIN","UNet-Seresnet - val_sparse_categorical_accuracy__MAX"
"0","0.9996843934059143","0.9996843934059143","0.9996843934059143"
"1","0.9998624324798584","0.9998624324798584","0.9998624324798584"
"2","0.9998743534088135","0.9998743534088135","0.9998743534088135"
"3","0.9998695850372314","0.9998695850372314","0.9998695850372314"
"4","0.9998809695243835","0.9998809695243835","0.9998809695243835"
"5","0.9998899698257446","0.9998899698257446","0.9998899698257446"
"6","0.9998847246170044","0.9998847246170044","0.9998847246170044"
"7","0.9998796582221985","0.9998796582221985","0.9998796582221985"
"8","0.9998670816421509","0.9998670816421509","0.9998670816421509"
"9","0.9998844265937805","0.9998844265937805","0.9998844265937805"
"10","0.9998711943626404","0.9998711943626404","0.9998711943626404"
"11","0.9998843669891357","0.9998843669891357","0.9998843669891357"
"12","0.9998422861099243","0.9998422861099243","0.9998422861099243"
"13","0.9998884797096252","0.9998884797096252","0.9998884797096252"
"14","0.9998738169670105","0.9998738169670105","0.9998738169670105"
